scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-04-17T13:45:42+0200,2026-04-17,Billa,Aepfel,Aepfel,Eigenmarke,Ja! Natürlich Apfel Tasse rot,,,,EUR,,,"Ja! Natürlich Ab 0,8 kg Tasse",0.8,kg,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,1 kg oder Standardgebinde bevorzugt
2026-04-17T13:45:43+0200,2026-04-17,Billa,Bananen,Bananen,Eigenmarke,Ja! Natürlich Bananen,,,,EUR,,,"Ja! Natürlich Ab 0,5 kg",0.5,kg,TRUE,,preisgesenkt,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489,lose Ware oder Standardbueschel
2026-04-17T13:45:45+0200,2026-04-17,Billa,Brot,Toastbrot,Eigenmarke,Ja! Natürlich Hausbrot,,,1.05,EUR,,,Ja! Natürlich 600 g Stück,600,g,TRUE,,in Aktion,multi_buy,ab 3 Stk,billa,https://shop.billa.at/produkte/ja-natuerlich-hausbrot-00890961,https://shop.billa.at/produkte/ja-natuerlich-hausbrot-00890961,Standardpackung bevorzugt
2026-04-17T13:45:47+0200,2026-04-17,Billa,Butter,Teebutter,Eigenmarke,Ja! Natürlich Butter,,,,EUR,,,Ja! Natürlich 250 g Packung,250,g,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Streichfaehige oder klassische Butter
2026-04-17T13:45:49+0200,2026-04-17,Billa,Eier,Eier,Eigenmarke,Ja! Natürlich Bio Eier M,,,,EUR,,,Ja! Natürlich 10 stk,10,stk,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,Packungsgroesse dokumentieren
2026-04-17T13:45:51+0200,2026-04-17,Billa,Fisch,Raeucherlachs,Eigenmarke,BILLA Bio Räucherlachs,,,4.99,EUR,,,BILLA Bio 100 g Stück,100,g,TRUE,,in Aktion,multi_buy,ab 2 Stk,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,Moeglichst Standardprodukt
2026-04-17T13:45:53+0200,2026-04-17,Billa,Fleisch,Faschiertes gemischt,Eigenmarke,Ja! Natürlich gemischtes Faschiertes,,,,EUR,,,Ja! Natürlich 360 g Packung,360,g,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,Frischware
2026-04-17T13:45:54+0200,2026-04-17,Billa,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-haferflocken-grob-008,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-04-17T13:45:56+0200,2026-04-17,Billa,Joghurt,Naturjoghurt,Eigenmarke,Ja! Natürlich Joghurt Natur 3.6%,,,,EUR,,,Ja! Natürlich 500 g Becher,500,g,TRUE,,preisgesenkt,,,billa,https://shop.billa.at/produkte/ja-natuerlich-joghurt-natur-36-00503905,https://shop.billa.at/produkte/ja-natuerlich-joghurt-natur-36-00503905,Becher oder 500 g bevorzugt
2026-04-17T13:45:58+0200,2026-04-17,Billa,Kaese,Mozzarella,Eigenmarke,Ja! Natürlich Mozzarella,,,3.49,EUR,,,Ja! Natürlich 125 g Beutel,125,g,TRUE,,preisgesenkt,multi_buy,ab 2 Packungen,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,Kugel oder Standardpackung
