scraped_at,scrape_date,store_name,food_group,category_name,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-05-13T06:44:37+0000,2026-05-13,Billa,Aepfel,Aepfel,Aepfel,Eigenmarke,Ja! Natürlich Apfel Tasse rot,,,,EUR,,,"JA! Natürlich Ab 0,8 kg Tasse",0.8,kg,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,https://shop.billa.at/produkte/ja-natuerlich-apfel-tasse-rot-00431081,1 kg oder Standardgebinde bevorzugt
2026-05-13T06:44:39+0000,2026-05-13,Billa,Bananen,Bananen,Bananen,Eigenmarke,Ja! Natürlich Bananen,,,,EUR,,,"JA! Natürlich Ab 0,5 kg",0.5,kg,TRUE,,in Aktion,discount,,billa,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489,https://shop.billa.at/produkte/ja-natuerlich-bananen-00402489,lose Ware oder Standardbueschel
2026-05-13T06:44:42+0000,2026-05-13,Billa,Brot,Brot,Toastbrot,Eigenmarke,Ja! Natürlich Hausbrot,,,1.19,EUR,,,JA! Natürlich 600 g Stück,600,g,TRUE,,in Aktion,multi_buy,ab 3 Stk,billa,https://shop.billa.at/produkte/ja-natuerlich-hausbrot-00890961,https://shop.billa.at/produkte/ja-natuerlich-hausbrot-00890961,Standardpackung bevorzugt
2026-05-13T06:44:45+0000,2026-05-13,Billa,Butter,Butter,Teebutter,Eigenmarke,Ja! Natürlich Butter,,,,EUR,,,JA! Natürlich 250 g Packung,250,g,TRUE,,preisgesenkt,,,billa,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,https://shop.billa.at/produkte/ja-natuerlich-butter-00827690,Streichfaehige oder klassische Butter
2026-05-13T06:44:47+0000,2026-05-13,Billa,Eier,Eier,Eier,Eigenmarke,Ja! Natürlich Bio Eier M,,,,EUR,,,JA! Natürlich 10 stk,10,stk,FALSE,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,https://shop.billa.at/produkte/ja-natuerlich-bio-eier-m-00820829,Packungsgroesse dokumentieren
2026-05-13T06:44:49+0000,2026-05-13,Billa,Fisch,Fisch,Raeucherlachs,Eigenmarke,BILLA Bio Räucherlachs,,,,EUR,,,Billa Bio 100 g Stück,100,g,FALSE,,,,,billa,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,https://shop.billa.at/produkte/billa-bio-raeucherlachs-00443218,Moeglichst Standardprodukt
2026-05-13T06:44:52+0000,2026-05-13,Billa,Fleisch,Fleisch,Faschiertes gemischt,Eigenmarke,Ja! Natürlich gemischtes Faschiertes,,,6.99,EUR,,,JA! Natürlich 360 g Packung,360,g,TRUE,,in Aktion,multi_buy,ab 2 Tassen,billa,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,https://shop.billa.at/produkte/ja-natuerlich-gemischtes-faschiertes-00763685,Frischware
2026-05-13T06:44:54+0000,2026-05-13,Billa,Haferflocken,Haferflocken,Haferflocken,Eigenmarke,,,,,EUR,,,,,,,,,,,billa,https://shop.billa.at/produkte/ja-natuerlich-haferflocken-grob-008,,SCRAPE_ERROR: Not Found (HTTP 404).
2026-05-13T06:44:56+0000,2026-05-13,Billa,Joghurt,Joghurt,Naturjoghurt,Eigenmarke,Ja! Natürlich Joghurt Natur 3.6%,,,,EUR,,,JA! Natürlich 500 g Becher,500,g,TRUE,,preisgesenkt,,,billa,https://shop.billa.at/produkte/ja-natuerlich-joghurt-natur-36-00503905,https://shop.billa.at/produkte/ja-natuerlich-joghurt-natur-36-00503905,Becher oder 500 g bevorzugt
2026-05-13T06:44:58+0000,2026-05-13,Billa,Kaese,Kaese,Mozzarella,Eigenmarke,Ja! Natürlich Mozzarella,,,,EUR,,,JA! Natürlich 125 g Beutel,125,g,TRUE,,preisgesenkt,,,billa,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,https://shop.billa.at/produkte/ja-natuerlich-mozzarella-00946692,Kugel oder Standardpackung
